id,servicio,categoria,precio_base,requiere_foto,tiempo_estimado,notas,contenido_rag
1,Corte mujer,Corte,8000,True,30 min,Precio fijo,Servicio: Corte mujer. Categoría: Corte. Precio base: $8000. Requiere foto: Sí. Tiempo estimado: 30 min. Precio fijo
2,Alisado brasileño,Alisado,45000,True,2-4 hs,'+adicional según largo/estado,Servicio: Alisado brasileño. Categoría: Alisado. Precio base: $45000. Requiere foto: Sí. Tiempo estimado: 2-4 hs. +adicional según largo/estado
3,Alisado keratina,Alisado,55000,True,3-4 hs,'+adicional según largo/estado,Servicio: Alisado keratina. Categoría: Alisado. Precio base: $55000. Requiere foto: Sí. Tiempo estimado: 3-4 hs. +adicional según largo/estado
4,Mechas completas,Color,35000,True,2-3 hs,'+adicional según cantidad,Servicio: Mechas completas. Categoría: Color. Precio base: $35000. Requiere foto: Sí. Tiempo estimado: 2-3 hs. +adicional según cantidad
5,Tintura raíz,Color,15000,True,1-2 hs,'+adicional si hay decoloración,Servicio: Tintura raíz. Categoría: Color. Precio base: $15000. Requiere foto: Sí. Tiempo estimado: 1-2 hs. +adicional si hay decoloración
6,Tintura completa,Color,25000,True,2-3 hs,'+adicional según largo,Servicio: Tintura completa. Categoría: Color. Precio base: $25000. Requiere foto: Sí. Tiempo estimado: 2-3 hs. +adicional según largo
7,Balayage,Color,50000,True,3-4 hs,'+adicional según complejidad,Servicio: Balayage. Categoría: Color. Precio base: $50000. Requiere foto: Sí. Tiempo estimado: 3-4 hs. +adicional según complejidad
8,Manicura simple,Uñas,5000,False,45 min,Precio fijo,Servicio: Manicura simple. Categoría: Uñas. Precio base: $5000. Requiere foto: No. Tiempo estimado: 45 min. Precio fijo
9,Manicura semipermanente,Uñas,8000,False,1 hr,Precio fijo,Servicio: Manicura semipermanente. Categoría: Uñas. Precio base: $8000. Requiere foto: No. Tiempo estimado: 1 hr. Precio fijo
10,Pedicura,Uñas,6000,False,45 min,Precio fijo,Servicio: Pedicura. Categoría: Uñas. Precio base: $6000. Requiere foto: No. Tiempo estimado: 45 min. Precio fijo
11,Depilación cera piernas,Depilación,10000,False,30 min,Precio fijo,Servicio: Depilación cera piernas. Categoría: Depilación. Precio base: $10000. Requiere foto: No. Tiempo estimado: 30 min. Precio fijo
12,Depilación cera axilas,Depilación,4000,False,15 min,Precio fijo,Servicio: Depilación cera axilas. Categoría: Depilación. Precio base: $4000. Requiere foto: No. Tiempo estimado: 15 min. Precio fijo
13,Depilación cera bikini,Depilación,6000,False,20 min,Precio fijo,Servicio: Depilación cera bikini. Categoría: Depilación. Precio base: $6000. Requiere foto: No. Tiempo estimado: 20 min. Precio fijo
14,Depilación láser piernas,Depilación,25000,False,45 min,Por sesión,Servicio: Depilación láser piernas. Categoría: Depilación. Precio base: $25000. Requiere foto: No. Tiempo estimado: 45 min. Por sesión
15,Depilación láser axilas,Depilación,12000,False,20 min,Por sesión,Servicio: Depilación láser axilas. Categoría: Depilación. Precio base: $12000. Requiere foto: No. Tiempo estimado: 20 min. Por sesión
