id,ServiceId,Name,Slug,Category,Description,KeyFeatures,UseCases,Audience,Differentiators,PricingModel,StartingPrice,SLA_Tier,Languages,Integrations,Status,Owner,UpdatedAt,SchemaV,Tags,PublicURL
1,svc-whatsapp-chatbot,WhatsApp Chatbot,whatsapp-chatbot,Chatbots,"Automatiza conversaciones en WhatsApp Business: captura leads, responde FAQs, toma pedidos/reservas y deriva a humano cuando corresponde.",captura de leads; respuestas rápidas; toma de pedidos; reservas; handoff a humano; verificación de datos,Restaurantes que toman pedidos; Retail con FAQs repetitivas; Talleres que coordinan turnos,PYMES de servicios y retail,Plantillas conversacionales optimizadas en ES; integración nativa con Chatwoot/Odoo; analítica conversacional incluida,Mensual,79,Pro,"ES,EN","WhatsApp Business,Chatwoot,Odoo,n8n",Active,Felix,12/09/2025 12:00,1,"whatsapp,pedidos,faq,reservas",https://www.leonobitech.com
2,svc-voice-assistant,Voice Assistant (IVR),voice-assistant,Voice,"Atiende llamadas entrantes con reconocimiento de intención: enruta, agenda turnos y envía recordatorios por SMS/WhatsApp.",enrutamiento por intent; agenda de turnos; recordatorios; TTS/STT en tiempo real; métricas de llamadas,Clínicas y talleres que reciben muchas llamadas; Soporte básico telefónico,PYMES con alto volumen de llamadas,Barge-in y latencia baja; pipelines en Rust/WebRTC; dashboards de desempeño,Mensual,129,Pro,"ES,EN","Leonobit,n8n,Odoo",Active,Felix,12/09/2025 12:00,1,"ivr,llamadas,agenda,recordatorios",https://www.leonobitech.com
3,svc-kb-agent,Knowledge Base Agent,kb-agent,Chatbots,"Asistente que responde a partir de tu documentación (FAQs, manuales, políticas). Usa RAG para precisión y citas.",RAG; citas de fuente; búsqueda semántica; panel de administración; feedback loop,Soporte al cliente; Onboarding interno; Portales de ayuda,PYMES y equipos de soporte,Cadenas de recuperación afinadas para ES; filtros por categoría/etiquetas; editor de snippets,Mensual,99,Pro,"ES,EN","Baserow,Qdrant,n8n,Chatwoot",Active,Felix,12/09/2025 12:00,1,"kb,faq,documentación,soporte",https://www.leonobitech.com
4,svc-odoo-automation,Process Automation (Odoo/ERP),odoo-automation,Automations,"Automatiza procesos internos (CRM, facturación, inventario) y sincroniza datos entre Odoo y tus canales (WhatsApp/voz/web).",sincronización CRM; disparadores n8n; actividades automáticas; reportes; webhooks seguros,Seguimiento de leads; actualización de estados; generación de presupuestos y facturas,PYMES en crecimiento con Odoo,Buenas prácticas de flujos n8n; manejo de errores; reintentos; seguridad y logging,Proyecto,1200,Pro,"ES,EN","Odoo,n8n,Chatwoot,Baserow",Active,Felix,12/09/2025 12:00,1,"odoo,crm,erp,integraciones",https://www.leonobitech.com
5,svc-lead-followup,Lead Capture & Follow-ups,lead-followups,Automations,Captura leads desde landing/WhatsApp y ejecuta seguimientos multicanal (mensajes y email) con plantillas y recordatorios.,captura omnicanal; scoring simple; plantillas; recordatorios; segmentación,Agencias y comercios que pierden leads por falta de seguimiento,PYMES orientadas a ventas,Flujos probados para ES; integración directa con Odoo CRM y Chatwoot; métricas de conversión,Mensual,89,Basic,"ES,EN","Chatwoot,Odoo,n8n,Baserow,SMTP",Active,Felix,12/09/2025 12:00,1,"leads,seguimiento,conversion",https://www.leonobitech.com
6,svc-analytics,Analytics & Reporting,analytics-reporting,Integrations,"Tableros con KPIs de atención, ventas y automatizaciones. Unifica datos de Odoo, WhatsApp y voz.",dashboards; KPIs; alertas; exportaciones; permisos por rol,Dirección y operaciones que necesitan visibilidad,Gerencia/Operaciones,KPIs listos para ES; segmentación por canal; alertas por umbral,Mensual,59,Basic,"ES,EN","Metabase,Odoo,Chatwoot,n8n,Baserow",Active,Felix,12/09/2025 12:00,1,"kpi,reportes,analytics",https://www.leonobitech.com
7,svc-reservations,Smart Reservations,reservations,Chatbots,"Gestión de reservas/turnos por WhatsApp o voz con validación, recordatorios y reprogramación.",validación; recordatorios; reprogramación; calendario; no-show reducción,"Restaurantes, clínicas, talleres",PYMES de agenda intensiva,Modelos y prompts adaptados a ES; integración con calendario y notificaciones,Mensual,79,Pro,"ES,EN","Odoo,WhatsApp Business,n8n",Active,Felix,12/09/2025 12:00,1,"reservas,turnos,recordatorios",https://www.leonobitech.com
8,svc-knowledge-intake,Knowledge Intake Pipeline,knowledge-intake,Integrations,"Pipeline para ingerir y normalizar conocimiento (Docs, Baserow, PDFs) con control de versiones y re-embeddings.",ingesta; chunking; versionado; re-embedding; validación,Equipos que actualizan documentación con frecuencia,Ops/Soporte/Producto,Estrategias de chunking y filtros para español; jobs incrementales por UpdatedAt,Proyecto,900,Pro,"ES,EN","Baserow,Qdrant,n8n",Active,Felix,12/09/2025 12:00,1,"ingesta,rag,actualizaciones",https://www.leonobitech.com
9,svc-webhook-guard,Webhook Guard,webhook-guard,Integrations,"Capa de seguridad para webhooks (firma, replay-protection, listas de allow/origin) con métricas y alertas.",firma HMAC; bloqueo por IP/origin; rate limit; logs; alertas,SaaS/SMB que integran múltiples servicios externos,Tech/IT,Perfil de seguridad para ES; plantillas listas para n8n/Axum,Mensual,39,Basic,"ES,EN","n8n,Axum,Odoo,Chatwoot",Active,Felix,12/09/2025 12:00,1,"seguridad,webhooks,rate-limit",https://www.leonobitech.com
10,svc-knowledge-chat,Website Knowledge Chat,website-knowledge-chat,Chatbots,"Widget de chat en tu web conectado a tu base de conocimiento con RAG, citando fuentes y capturando leads.",widget; citas; captura de leads; contexto de negocio; modo ‘solo FAQ’,Web corporativas y landing pages con tráfico,Marketing/Soporte,UX en español; safe-answers; controles de tono y límites,Mensual,49,Basic,"ES,EN","Baserow,Qdrant,Chatwoot,n8n",Active,Felix,12/09/2025 12:00,1,"widget,faq,leads",https://www.leonobitech.com
11,svc-data-sync,Data Sync Hub,data-sync,Integrations,"Sincroniza datos entre WhatsApp/Chatwoot, Odoo y Baserow con mapeos consistentes y manejo de errores.",mapeos; deduplicación; reintentos; logs; alertas,Operaciones con varios sistemas desconectados,Ops/IT,Mapeos listos para ES; perfiles de seguridad; observabilidad mínima,Proyecto,700,Pro,"ES,EN","Chatwoot,Odoo,Baserow,n8n",Active,Felix,12/09/2025 12:00,1,"sync,integraciones,dedupe",https://www.leonobitech.com
12,svc-platform-core,Leonobitech Platform Core,platform-core,Integrations,"Plataforma full-stack productiva: Traefik como reverse proxy, API Core en Express+TypeScript, frontend Next.js, autenticación con JWT/OAuth y backoffice listo para operar.",Traefik con rutas/SSL; API Express TS; Next.js SSR/ISR; auth JWT/OAuth y RBAC; multientorno; CI/CD; logs y métricas; webhooks; feature flags,MVPs rápidos; portales de clientes; backoffice unificado; paneles operativos; integraciones a medida,Tech/IT; Producto,Boilerplate endurecido para ES; despliegue Docker; playbooks de observabilidad; plantillas n8n listas,Proyecto,3000,Pro,"ES,EN","Next.js,TypeScript,Traefik,Redis,Postgres,Mongodb,SMTP,Rust,Qdrant,Baserow,n8n,Express,Axum,Chatwoot,Odoo,WhatsApp Business",Active,Felix,12/09/2025 12:00,1,"fullstack,api,next.js,traefik,auth",https://www.leonobitech.com
